Date,City,Country,Organisation,Referrer,Presentation
Sat Dec 06 17:42:42 -0600 2014,Munich,Germany,Deutsche Telekom AG,www.slideshare.net,Alasql fast JavaScript in-memory SQL database
Sat Dec 06 17:41:08 -0600 2014,Munich,Germany,Deutsche Telekom AG,direct,SQL and NoSQL Better Together in Alasql
Sat Dec 06 15:30:23 -0600 2014,Mountain View,United States,Google,direct,Alasql fast JavaScript in-memory SQL database
Sat Dec 06 15:30:20 -0600 2014,Saint Petersburg,Russian Federation,Skynet Ltd,www.google.ru,Alasql fast JavaScript in-memory SQL database
Sat Dec 06 15:22:32 -0600 2014,Saint Petersburg,Russian Federation,Skynet Ltd,www.google.ru,Alasql.js - SQL сервер на JavaScript
Fri Dec 05 20:52:16 -0600 2014,Tel Aviv,Israel,IACTCOM,www.slideshare.net,Alasql.js - SQL сервер на JavaScript
Fri Dec 05 15:45:10 -0600 2014,Sunnyvale,United States,Yahoo,direct,Alasql.js - SQL сервер на JavaScript
Fri Dec 05 08:16:35 -0600 2014,Toronto,Canada,G3 Telecom Corp.,direct,SQL and NoSQL Better Together in Alasql
Fri Dec 05 07:35:29 -0600 2014,Sunnyvale,United States,Yahoo,direct,Alfina at glance 140507
Fri Dec 05 03:53:02 -0600 2014,Ghatkopar,India,Wan & Lan Internet Pvt,www.google.co.in,SQL and NoSQL Better Together in Alasql
Fri Dec 05 03:52:59 -0600 2014,Ghatkopar,India,Wan & Lan Internet Pvt,www.google.co.in,Alasql fast JavaScript in-memory SQL database
Thu Dec 04 11:08:27 -0600 2014,Sunnyvale,United States,Yahoo,direct,Alfina at glance 140507
Thu Dec 04 08:18:04 -0600 2014,N/A,United Kingdom,Vodafone Limited,www.google.co.uk,SQL and NoSQL Better Together in Alasql
Thu Dec 04 02:36:23 -0600 2014,Mountain View,United States,Google,direct,SQL and NoSQL Better Together in Alasql
Thu Dec 04 02:36:19 -0600 2014,Kobe,Japan,Open Computer Network,www.google.co.jp,SQL and NoSQL Better Together in Alasql
Wed Dec 03 15:23:04 -0600 2014,Aldershot,United Kingdom,Virgin Media,direct,SQL and NoSQL Better Together in Alasql
Wed Dec 03 15:11:58 -0600 2014,Aldershot,United Kingdom,Virgin Media,direct,Alasql fast JavaScript in-memory SQL database
Wed Dec 03 10:17:58 -0600 2014,Moscow,Russian Federation,MTS OJSC,www.google.ru,Alasql fast JavaScript in-memory SQL database
Tue Dec 02 22:41:39 -0600 2014,Mountain View,United States,Google,direct,Alasql fast JavaScript in-memory SQL database
Tue Dec 02 22:41:34 -0600 2014,Tokyo,Japan,NTT Plala Inc.,direct,Alasql fast JavaScript in-memory SQL database
Tue Dec 02 04:04:48 -0600 2014,Moscow,Russian Federation,National Research University Higher School of Econ,direct,Alasql fast JavaScript in-memory SQL database
Tue Dec 02 03:02:54 -0600 2014,Moscow,Russian Federation,National Research University Higher School of Econ,direct,Alasql.js - SQL сервер на JavaScript
Tue Dec 02 02:59:38 -0600 2014,Moscow,Russian Federation,National Research University Higher School of Econ,N/A,SQL and NoSQL Better Together in Alasql
Tue Dec 02 02:54:44 -0600 2014,Moscow,Russian Federation,National Research University Higher School of Econ,www.slideshare.net,Alasql fast JavaScript in-memory SQL database
Tue Dec 02 02:54:43 -0600 2014,Moscow,Russian Federation,National Research University Higher School of Econ,www.slideshare.net,Alasql.js - SQL сервер на JavaScript
Mon Dec 01 14:42:59 -0600 2014,Mountain View,United States,Google,direct,Alasql fast JavaScript in-memory SQL database
Mon Dec 01 14:42:57 -0600 2014,Moscow,Russian Federation,OOOGorCom,www.google.ru,Alasql fast JavaScript in-memory SQL database
Mon Dec 01 14:42:45 -0600 2014,Moscow,Russian Federation,OOOGorCom,www.google.ru,Alasql.js - SQL сервер на JavaScript
Mon Dec 01 11:16:17 -0600 2014,Moscow,Russian Federation,Beeline-Moscow GPRS Firewall,direct,Alasql.js - SQL сервер на JavaScript
Mon Dec 01 10:01:19 -0600 2014,Sunnyvale,United States,Yahoo,direct,SQL and NoSQL Better Together in Alasql
Mon Dec 01 09:36:22 -0600 2014,Denpasar,Indonesia,PT Telkom Indonesia,direct,SQL and NoSQL Better Together in Alasql
Mon Dec 01 06:00:05 -0600 2014,Sunnyvale,United States,Yahoo,direct,Alasql.js - SQL сервер на JavaScript
Mon Dec 01 05:36:55 -0600 2014,Denpasar,Indonesia,PT Telkom Indonesia,direct,Alasql fast JavaScript in-memory SQL database
Mon Dec 01 05:24:51 -0600 2014,Vienna,Austria,UPC Austria,www.google.at,Alasql fast JavaScript in-memory SQL database
Sun Nov 30 16:14:45 -0600 2014,Sunnyvale,United States,Yahoo,direct,SQL and NoSQL Better Together in Alasql
Sun Nov 30 09:53:23 -0600 2014,Sunnyvale,United States,Yahoo,direct,Alasql.js - SQL сервер на JavaScript
Sun Nov 30 09:52:12 -0600 2014,San Diego,United States,Websense,direct,Alasql fast JavaScript in-memory SQL database
Sun Nov 30 08:38:07 -0600 2014,Mountain View,United States,Google,direct,SQL and NoSQL Better Together in Alasql
Sun Nov 30 08:38:04 -0600 2014,Bolzano,Italy,Telecom Italia,direct,SQL and NoSQL Better Together in Alasql
Sun Nov 30 07:12:25 -0600 2014,Alexandria,Egypt,TE Data,www.slideshare.net,SQL and NoSQL Better Together in Alasql
Sun Nov 30 07:11:03 -0600 2014,Mountain View,United States,Google,direct,SQL and NoSQL Better Together in Alasql
Sun Nov 30 07:10:57 -0600 2014,Alexandria,Egypt,TE Data,www.slideshare.net,SQL and NoSQL Better Together in Alasql
Sun Nov 30 07:03:58 -0600 2014,Gîza,Egypt,TE Data,direct,Alasql fast JavaScript in-memory SQL database
Sun Nov 30 05:52:32 -0600 2014,Shenzhen,China,China Telecom Guangdong,direct,SQL and NoSQL Better Together in Alasql
Sun Nov 30 05:52:31 -0600 2014,Shenzhen,China,China Telecom Guangdong,direct,SQL and NoSQL Better Together in Alasql
Sun Nov 30 05:52:31 -0600 2014,Shenzhen,China,China Telecom Guangdong,direct,SQL and NoSQL Better Together in Alasql
Sun Nov 30 05:52:31 -0600 2014,Shenzhen,China,China Telecom Guangdong,direct,SQL and NoSQL Better Together in Alasql
Fri Nov 28 17:22:29 -0600 2014,Malmö,Sweden,Com Hem Sweden,direct,Alasql fast JavaScript in-memory SQL database
Fri Nov 28 16:55:28 -0600 2014,Malmö,Sweden,Com Hem Sweden,direct,SQL and NoSQL Better Together in Alasql
Fri Nov 28 07:02:25 -0600 2014,Moscow,Russian Federation,National Research University Higher School of Econ,www.slideshare.net,Alasql.js - SQL сервер на JavaScript
Fri Nov 28 02:56:18 -0600 2014,Matosinhos,Portugal,"NOVIS Telecom, S.A.",www.google.pt,Alasql fast JavaScript in-memory SQL database
Thu Nov 27 21:52:39 -0600 2014,Chalfont,United States,Verizon FiOS,direct,Alasql.js - SQL сервер на JavaScript
Thu Nov 27 21:28:03 -0600 2014,Chalfont,United States,Verizon FiOS,direct,SQL and NoSQL Better Together in Alasql
Thu Nov 27 11:08:56 -0600 2014,Moscow,Russian Federation,Beeline-Moscow GPRS Firewall,direct,Alasql fast JavaScript in-memory SQL database
Thu Nov 27 11:08:48 -0600 2014,Moscow,Russian Federation,Beeline-Moscow GPRS Firewall,direct,SQL and NoSQL Better Together in Alasql
Thu Nov 27 10:01:20 -0600 2014,Moscow,Russian Federation,National Research University Higher School of Econ,www.slideshare.net,Alasql fast JavaScript in-memory SQL database
Thu Nov 27 10:00:30 -0600 2014,Moscow,Russian Federation,National Research University Higher School of Econ,www.slideshare.net,SQL and NoSQL Better Together in Alasql
Thu Nov 27 06:10:51 -0600 2014,Gomel,Belarus,Belpak,direct,Alasql fast JavaScript in-memory SQL database
Thu Nov 27 06:00:22 -0600 2014,Gîza,Egypt,TE Data,direct,Alasql fast JavaScript in-memory SQL database
Thu Nov 27 04:51:56 -0600 2014,N/A,N/A,N/A,www.linkedin.com,Alasql.js - SQL сервер на JavaScript
Thu Nov 27 03:22:01 -0600 2014,Moscow,Russian Federation,FSUE the Main information computer center of the M,direct,SQL and NoSQL Better Together in Alasql
Thu Nov 27 02:55:51 -0600 2014,Moscow,Russian Federation,"JSC AKADO-Stolitsa, MigTelecom, Moscow",www.google.ru,Alasql.js - SQL сервер на JavaScript
