Airport Code,Airport Name,Language Code
AAC,Al Arish,en
AAE,Annaba Les Saline,en
AAH,Aachen Merzbruck,en
AAL,Aalborg,en
AAN,Al Ain,en
AAQ,Anapa,en
AAR,Aarhus Tirstrup,en
AAU,Asau,en
